x y z label
0.100 0.723 -0.123 c
0.671 0.736 -0.114 c
0.766 0.045 -0.117 c
0.574 0.217 -0.117 c
0.413 0.591 -0.128 c
0.072 0.773 0.079 c
0.679 0.698 0.144 c
0.868 0.122 0.216 c
0.749 0.213 0.168 c
0.537 0.522 0.150 c
0.377 0.637 0.171 c
0.107 0.694 0.166 c
0.642 0.477 0.121 s
0.664 0.451 0.063 s
0.379 0.695 0.051 s
0.597 0.341 0.190 s
0.471 0.540 0.157 s
0.783 0.265 0.186 s
0.779 0.329 0.133 s
0.281 0.583 0.153 s
0.562 0.500 0.026 s
0.714 0.331 0.187 s
0.602 0.397 -0.026 s
0.245 0.586 -0.058 s
0.573 0.529 -0.117 s
0.437 0.685 0.146 s
0.576 0.605 0.162 s
0.792 0.174 0.123 s
0.359 0.574 -0.082 s
0.658 0.336 0.041 s
0.639 0.440 0.058 s
0.423 0.432 0.008 s
0.529 0.617 -0.098 s
0.341 0.564 -0.093 s
0.718 0.389 -0.013 s
0.656 0.470 0.110 s
0.626 0.544 0.151 s
0.446 0.444 -0.031 s
0.276 0.688 0.046 s
0.486 0.364 -0.024 s
0.304 0.600 0.017 s
0.689 0.249 0.046 s
0.723 0.524 -0.000 s
0.592 0.474 0.085 s
0.688 0.267 -0.063 s
0.735 0.213 -0.077 s
0.355 0.508 0.006 s
0.375 0.724 -0.075 s
0.581 0.380 0.108 s
0.194 0.652 -0.065 s
0.254 0.689 -0.044 s
0.673 0.637 -0.107 s
0.741 0.184 0.128 s
0.511 0.678 -0.097 s
0.163 0.662 0.095 s
0.451 0.550 0.049 s
0.566 0.726 0.025 s
0.479 0.485 0.076 s
0.316 0.609 -0.108 s
0.544 0.643 0.062 s
0.800 0.106 0.012 s
0.583 0.295 -0.067 s
0.666 0.593 0.149 s
0.725 0.496 -0.029 s
0.711 0.386 0.166 s
0.179 0.633 0.106 s
0.233 0.630 0.096 s
0.408 0.458 -0.039 s
0.331 0.578 0.004 s
0.284 0.554 0.136 s
0.422 0.596 -0.022 s
0.477 0.424 0.014 s
0.537 0.674 -0.019 s
0.554 0.304 0.080 s
0.675 0.359 0.099 s
